NUTSID,NUTSName,Year,CDUCSU,SPD,B90GR,PDS,FDP,REP,BFB,Graue,DP,APD,STATT,PASS,BP,Forum,PBC,Natur,DSU,NPD,CM,CL,Autonome,BSo,PEAD,BSA,FAMILIE,Other,Electorate,Votes,Validvotes,Invalidvotes
DED2A,Weißeritzkreis,1994,29787,10458,2774,9525,2089,2687,590,753,243,958,169,893,96,829,139,210,867,152,132,171,81,69,94,24,0,5880,90696,67889,63790,4099
DED2B,Kamenz,1994,36522,14850,3170,12979,3565,2753,753,884,194,1101,215,1036,83,732,178,331,1141,162,141,163,82,78,59,53,0,6633,113130,86717,81225,5492
DED31,"Leipzig, Kreisfreie Stadt",1994,64819,60933,23483,49559,7222,6168,3902,4166,1009,2806,780,2118,172,4043,395,628,3907,448,225,162,316,166,338,137,0,21816,417339,246563,237902,8661
DED32,Delitzsch,1994,22631,15601,3835,10678,2661,2170,643,828,171,807,152,606,73,678,75,197,836,85,43,38,56,38,47,17,0,4747,94365,66458,62966,3492
DED33,Döbeln,1994,19234,8820,1746,6875,1809,1458,423,440,97,678,106,610,47,486,47,133,297,88,49,35,46,29,50,38,0,3276,64762,46856,43641,3215
DED34,Leipziger Land,1994,29747,21380,3896,11416,2607,2470,827,990,202,984,232,868,75,2533,151,229,1752,128,76,67,67,48,77,38,0,8517,120137,85782,80860,4922
DED35,Muldentalkreis,1994,25023,16550,3824,9207,2912,2364,839,703,199,958,179,801,96,843,179,273,1122,188,123,75,46,67,61,45,0,5958,95693,70269,66677,3592
DED36,Torgau-Oschatz,1994,20038,13048,2782,9057,2815,2097,494,461,129,736,107,727,59,694,54,191,1034,103,72,59,51,37,46,43,0,4603,80053,58575,54934,3641
DEE11,"Dessau, Kreisfreie Stadt",1994,13120,10992,3410,9133,2148,1107,554,564,126,820,169,841,58,579,103,164,540,109,51,37,100,129,39,87,0,4516,74445,46466,44980,1486
DEE12,Anhalt-Zerbst,1994,13043,11531,2467,6631,2070,1286,395,499,95,647,144,1021,62,734,69,166,290,112,83,48,56,120,38,49,0,4233,62359,43308,41656,1652
DEE13,Bernburg,1994,11557,10274,1444,7123,2114,1056,643,398,95,502,206,808,82,417,74,109,122,117,58,57,31,73,54,56,0,3259,60311,38982,37470,1512
DEE14,Bitterfeld,1994,18046,16093,2962,9006,2794,2116,589,761,168,974,168,1201,89,600,75,172,248,128,92,86,67,182,48,67,0,5126,92379,59406,56732,2674
DEE15,Köthen,1994,11892,9864,1683,6556,1453,929,512,357,97,419,84,716,104,341,66,95,101,104,60,39,52,88,19,37,0,2779,56934,37367,35668,1699
DEE16,Wittenberg,1994,22131,19547,3949,11360,3468,2295,712,779,253,1310,305,1530,142,702,172,289,233,213,143,92,68,241,67,75,0,6614,108485,73168,70076,3092
DEE21,"Halle (Saale), Kreisfreie Stadt",1994,31570,30474,9333,33030,9269,2755,1521,2801,354,1822,617,2326,123,2683,146,393,387,328,139,144,193,551,150,105,0,13262,227627,138458,131214,7244
DEE22,Burgenlandkreis,1994,25707,20080,4006,12074,4319,2757,718,1044,223,1255,235,1613,149,818,104,257,413,300,144,109,64,252,95,85,0,7160,119376,80501,76821,3680
DEE23,Mansfelder Land,1994,20771,16529,2278,10015,2254,1594,618,896,161,970,213,1284,97,663,83,185,261,170,85,80,54,175,61,65,0,5503,92060,62148,59562,2586
DEE24,Merseburg-Querfurt,1994,21495,18424,3112,11114,4605,1782,579,934,171,992,520,1330,103,1542,78,223,385,197,98,87,68,156,97,79,0,7060,109437,71202,68171,3031
DEE25,Saalkreis,1994,11620,8373,1512,5307,2828,973,315,380,110,595,120,710,49,399,28,108,148,135,43,44,29,99,31,29,0,3057,50264,35920,33985,1935
DEE26,Sangerhausen,1994,12690,10458,1615,5967,2196,1121,310,512,102,584,103,931,54,436,56,112,109,133,56,41,63,108,60,45,0,3505,57138,39737,37862,1875
DEE27,Weißenfels,1994,13663,10617,1819,6978,1754,1237,384,529,130,635,239,876,68,439,41,144,283,154,73,58,51,113,52,47,0,3932,65193,42019,40384,1635
DEE31,"Magdeburg, Kreisfreie Stadt",1994,28947,38456,10546,33936,3419,3085,1127,2066,319,1419,788,1972,106,1325,181,349,275,287,125,77,138,207,91,99,0,9824,211967,132139,129340,2799
DEE32,Aschersleben-Staßfurt,1994,16854,15645,2875,11088,2596,1325,435,647,144,689,221,1243,84,500,61,174,501,152,67,59,54,142,46,64,0,4848,86933,57784,55666,2118
DEE33,Bördekreis,1994,13502,14417,2023,7759,1569,1086,363,399,78,571,85,749,65,290,51,123,111,96,51,61,30,93,27,46,0,2926,63259,45414,43645,1769
DEE34,Halberstadt,1994,14003,12266,2389,7485,1430,1177,375,558,96,470,102,711,75,1126,78,119,117,136,46,37,68,88,14,27,0,3868,65358,44333,42993,1340
DEE35,Jerichower Land,1994,14195,15412,2610,8848,1779,1320,505,544,149,665,145,929,64,608,62,185,124,102,90,52,97,110,42,45,0,4013,75234,50411,48682,1729
DEE36,Ohrekreis,1994,18332,16339,3248,8698,2168,1559,652,613,175,745,223,1018,56,459,109,166,135,140,88,77,85,124,57,88,0,4358,82429,57973,55354,2619
DEE37,Stendal,1994,21872,23203,3994,13240,2671,2031,693,867,193,930,249,1432,85,803,178,230,246,198,117,116,82,146,57,93,0,6022,116104,76459,73726,2733
DEE38,Quedlinburg,1994,12597,12019,2204,6440,2187,1039,445,592,122,639,127,941,60,596,90,141,330,165,55,66,37,84,35,46,0,4126,66056,42920,41057,1863
DEE39,Schönebeck,1994,13731,11551,1981,7809,1391,1100,398,464,105,518,98,843,55,331,76,126,140,82,59,33,30,77,37,41,0,3115,64125,42576,41076,1500
DEE3A,Wernigerode,1994,15903,16007,3389,10026,2021,1503,534,732,136,816,161,1009,72,572,99,163,140,164,78,70,90,107,47,44,0,4500,77283,55681,53883,1798
DEE3B,Altmarkkreis Salzwedel,1994,16265,14766,3058,9670,2125,1756,600,549,126,559,150,919,59,674,80,163,160,98,84,61,121,102,36,54,0,3995,78046,54535,52235,2300
