ID,Name,Year,sp.a,SLP,NVA,GROEN,VlaamsBelang,CDV,OpenVld,LijstDedecker,CAP,LSP,PVDA,PS,CDH,MR,ECOLO,R.W.F.,FN,PTB,PCGE,MS,LCRPSL,CAPDORAZIO,WALLONIEDABORD,SP,CSP,PFF,ECOLO_G,EUROPAderWERTE,ProDG,VIVANT,Electorate,Votes,Validvotes,Invalidvotes
Nieuwpoort ,Nieuwpoort ,2009,935,67,670,474,958,1667,1576,1400,9,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300,8338,7817,521
Oostende,Oostende,2009,14107,1032,6004,5994,11130,11526,15660,12280,122,232,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93402,83425,78674,4751
Oostrozebeke ,Oostrozebeke ,2009,741,56,1024,389,1597,4282,1735,1420,19,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12879,12199,11324,875
Poperinge,Poperinge,2009,1269,99,960,759,1480,4489,2376,1739,28,31,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15469,14271,13299,972
Roeselare ,Roeselare ,2009,6289,405,4945,3396,6691,17053,8208,5573,62,107,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60694,56547,53057,3490
Ruiselede ,Ruiselede ,2009,901,68,1060,707,1442,4661,2159,1605,18,20,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14573,13664,12706,958
Tielt,Tielt,2009,2272,151,2176,1438,2494,8672,4520,2475,31,44,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27996,26192,24440,1752
Torhout,Torhout,2009,2031,95,1048,856,1392,4610,2253,1577,14,25,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15937,14919,13978,941
Veurne,Veurne,2009,4314,213,3107,2223,3106,7748,7678,4821,58,109,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39274,35542,33559,1983
Vleteren,Vleteren,2009,154,8,194,135,303,765,413,361,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837,2623,2352,271
Wervik,Wervik,2009,2179,99,862,735,1629,3320,1610,1132,20,25,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13749,12733,11714,1019
Zonnebeke ,Zonnebeke ,2009,1072,54,652,343,909,2987,1106,915,15,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9418,8731,8104,627
BE10 ,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest ,2009,22904,1063,28987,22468,40860,51905,71170,14350,293,410,1774,107436,59931,138934,120135,2045,10596,4841,1427,525,2642,1247,3102,0,0,0,0,0,0,0,866747,749182,709045,40137
BE21 ,Prov. Antwerpen ,2009,151858,6885,119555,98482,220230,243531,194297,58647,1881,2497,14018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275366,1160651,1111881,48770
BE22 ,Prov. Limburg (B) ,2009,91610,2703,58536,27561,84540,138861,97879,33090,829,991,5801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614742,576142,542401,33741
BE23 ,Prov. Oost-Vlaanderen ,2009,116724,6815,84913,79326,147950,204094,239831,71337,1723,2246,9248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098073,1015641,964207,51434
BE24 ,Prov. Vlaams-Brabant ,2009,56332,2726,43394,40528,56498,88384,90853,29306,617,981,3926,5285,2913,11891,7551,200,717,246,78,56,112,132,845,0,0,0,0,0,0,0,513048,468412,443571,24841
BE25 ,Prov. West-Vlaanderen ,2009,99965,6349,67160,53784,97092,221348,143854,89969,1055,1860,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911593,839406,787726,51680
BE31 ,Prov. Brabant Wallon ,2009,0,0,0,0,0,0,0,0,0,0,0,36675,26679,87143,60642,3307,5275,1079,330,175,565,963,3272,0,0,0,0,0,0,0,268444,241253,226105,15148
BE32 ,Prov. Hainaut ,2009,0,0,0,0,0,0,0,0,0,0,0,263423,91200,153217,135879,10330,38801,9343,3049,2605,2069,2903,14841,0,0,0,0,0,0,0,909140,809149,727660,81489
BE33 ,Prov. Liège ,2009,0,0,0,0,0,0,0,0,0,0,0,193869,68818,130724,133721,6729,17932,10256,1880,995,1719,1615,8320,5658,12475,7878,6025,330,3897,2417,752226,662962,615258,47704
BE34 ,Prov. Luxembourg (B) ,2009,0,0,0,0,0,0,0,0,0,0,0,36085,34420,42381,36173,1725,4332,589,318,151,302,222,1762,0,0,0,0,0,0,0,193092,176634,158460,18174
BE35 ,Prov. Namur ,2009,0,0,0,0,0,0,0,0,0,0,0,72174,43863,75802,67980,6152,10053,2129,451,432,545,544,5363,0,0,0,0,0,0,0,351344,314983,285488,29495
BE1 ,RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST ,2009,22904,1063,28987,22468,40860,51905,71170,14350,293,410,1774,107436,59931,138934,120135,2045,10596,4841,1427,525,2642,1247,3102,0,0,0,0,0,0,0,866747,749182,709045,40137
BE2 ,VLAAMS GEWEST ,2009,516489,25478,373558,299681,606310,896218,766714,282349,6105,8575,38283,5285,2913,11891,7551,200,717,246,78,56,112,132,845,0,0,0,0,0,0,0,4412822,4060252,3849786,210466
BE3 ,RÉGION WALLONNE ,2009,0,0,0,0,0,0,0,0,0,0,0,602226,264980,489267,434395,28243,76393,23396,6028,4358,5200,6247,33558,5658,12475,7878,6025,330,3897,2417,2474246,2204981,2012971,192010
BE,BELGIUM,2009,539393,26541,402545,322149,647170,948123,837884,296699,6398,8985,40057,714947,327824,640092,562081,30488,87706,28483,7533,4939,7954,7626,37505,5658,12475,7878,6025,330,3897,2417,7753815,7014415,6571802,442613
