NUTSID,NUTSName,CDU,SPD,GRNE,CSU,DIELINKE,FDP,REP,DieTierschutzpartei,FAMILIE,dp,DIEFRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BSo,Plus,AUF,DVU,DIEGRAUEN,DIEVIOLETTEN,EDE,FBI,VOLKSENTSCHEIDE,FWFREIEWHLER,Newropeans,PIRATEN,RRP,RENTNER,Wahlberechtigte,Whler,Ungltige,Gltige
DE931,Celle,22167,12751,5262,0,1655,5935,524,466,310,64,138,125,191,50,47,22,37,16,11,104,59,250,89,58,21,32,61,363,19,350,271,382,140730,52234,404,51830
DE932,Cuxhaven,24252,16206,6407,0,2415,5470,284,573,437,49,148,155,83,37,49,24,49,14,12,139,35,290,122,66,13,45,57,349,18,367,321,513,159742,59620,621,58999
DE933,Harburg,31348,16953,11397,0,2843,11053,444,783,563,121,128,199,274,79,55,47,78,19,22,204,82,318,176,137,13,65,91,617,42,726,427,664,190716,80700,732,79968
DE934,Lüchow-Dannenberg,5278,2762,4890,0,913,1399,95,121,77,12,27,24,60,12,11,20,14,6,5,33,20,60,28,27,7,17,20,53,1,100,109,158,40613,16522,163,16359
DE935,Lüneburg,18400,13419,12404,0,2805,6432,254,499,444,92,133,150,115,40,41,48,31,15,13,101,55,315,99,106,20,63,48,165,24,475,450,438,136455,58251,557,57694
DE936,Osterholz,12281,10449,5689,0,1653,3807,244,368,236,56,80,88,85,25,21,17,21,7,7,83,18,144,88,42,12,26,36,103,12,263,144,324,88650,36722,293,36429
DE937,Rotenburg (Wümme),24161,13708,6318,0,1826,6255,314,447,423,60,149,134,178,63,51,27,14,14,18,106,40,204,102,57,7,57,75,385,19,411,135,332,127867,56926,836,56090
DE938,Soltau-Fallingbostel,17103,10571,4457,0,1512,4461,315,421,308,42,94,101,142,27,37,18,19,12,11,63,38,213,78,36,11,42,34,128,10,283,143,291,109401,41325,304,41021
DE939,Stade,24273,14337,6987,0,2109,5831,319,485,455,75,129,121,96,46,45,29,16,14,10,120,41,178,93,74,17,34,56,298,19,419,216,392,153069,57874,540,57334
DE93A,Uelzen,12445,7720,4350,0,1116,3011,198,260,200,47,68,55,83,25,25,26,11,11,8,54,44,90,51,37,7,22,39,147,11,189,429,402,76664,31466,285,31181
DE93B,Verden,14778,10617,6342,0,1492,4095,278,373,247,57,88,124,119,24,28,16,12,7,6,85,30,130,73,74,8,27,48,134,20,328,267,402,103561,40662,333,40329
DE941,"Delmenhorst, Stadt",6500,5879,2203,0,1145,1988,138,330,139,26,68,69,27,25,16,13,8,5,2,78,11,130,74,12,9,22,24,81,17,212,140,228,57535,19833,214,19619
DE942,"Emden, Stadt",3158,5004,1856,0,550,1026,62,100,55,12,23,22,54,11,8,11,6,5,2,19,8,38,18,9,4,5,7,52,9,110,36,74,39217,12528,174,12354
DE943,"Oldenburg (Oldenburg), Stadt",13575,12626,11469,0,2932,5065,170,431,260,114,158,94,75,31,44,61,20,19,5,146,36,94,68,92,23,36,30,217,31,757,128,248,123278,49467,412,49055
DE944,"Osnabrück, Stadt",20304,12119,8420,0,2407,4981,161,326,187,82,102,112,85,36,25,49,28,17,9,55,40,61,65,62,20,28,34,161,28,465,79,157,118495,51047,342,50705
DE945,"Wilhelmshaven, Stadt",7424,6137,2190,0,1402,2607,208,287,117,25,68,40,23,10,11,11,12,9,7,58,9,81,41,27,6,27,25,308,14,209,158,320,64831,22145,274,21871
DE946,Ammerland,12923,9141,4470,0,1037,5082,146,339,271,45,74,79,59,21,17,14,15,3,13,78,36,78,50,30,18,30,25,130,19,263,128,212,91753,35233,387,34846
DE947,Aurich,15943,19507,5744,0,2603,4360,319,520,353,43,158,85,106,48,46,35,27,10,12,185,39,171,69,62,11,49,42,459,17,283,152,371,150325,52852,1023,51829
DE948,Cloppenburg,26903,5794,2167,0,920,4184,119,216,234,30,74,50,67,71,26,18,15,7,6,52,43,71,34,18,4,27,34,77,5,203,78,178,115205,42105,380,41725
