"","country_year","EU.stance.mean","EU.stance.sd","inst.EUS","gen.EUS","nation","year","left.mean","pola.sum","pola.index","rile.sum","rile.pola.index","sum.EUS.vote","p2sum","enop","member","CEE","member.dur","avg.EUS","diff.EUS"
"25","22_79",4.87475661436717,7.64187750255047,11.6089613034623,2.03665987780041,22,1979,3,3.57600000858307,1.89103146684106,4.03626471663035,2.00904572288197,1.10000002384186,0.136,7.35294117647059,1952,0,27,6.82281059063135,5.7228105667895
"26","22_84",10.8225957552592,4.00242915538604,3.07692307692308,14.1538461538462,22,1984,5,13.0560002422333,3.61330876652318,1.97713404716089,1.40610598717198,0,0.1312,7.6219512195122,1952,0,32,8.61538461538464,8.61538461538464
"27","22_89",2.61761195659637,10.8168950179536,11.3340020060181,2.30692076228686,22,1989,4,5.54400006294251,2.35457003780786,4.98890528899293,2.2335857469533,0.699999988079071,0.112,8.92857142857143,1952,0,37,6.82046138415248,6.12046139607341
"28","22_94",3.44966922487532,21.0790243284192,5.34274193548387,16.8346774193548,22,1994,5,7.61199993133545,2.75898530828554,9.18857875822422,3.0312668569798,1.29999995231628,0.163371488033299,6.12101910828025,1952,0,42,11.0887096774193,9.78870972510305
"29","22_99",8.47064742020198,18.335551984543,17.9937952430196,5.48086866597725,22,1999,5.33333333333333,10.4400001186795,3.23109890264589,7.90666861126626,2.81187990697794,5,0.189386056191467,5.28021978021978,1952,0,47,11.7373319544984,6.73733195449843
"30","23_04",14.4434761762619,11.3377399439239,10.0401606425703,4.61847389558233,23,2004,6.4,10.1942400390625,3.19284200032863,16.2698070148143,4.03358488379931,8,0.333333333333333,3,1952,0,52,7.32931726907631,-0.670682730923685
"31","23_09",5.23752495646477,4.25399585982321,14.7177419354839,8.06451612903226,23,2009,3.75,6.63175013542176,2.57521846363018,2.47769099949818,1.57406829569056,0,0.148148148148148,6.75,1952,0,57,11.3911290322581,11.3911290322581
"32","23_79",23.8211949666341,20.1265765002221,12.2866894197952,3.07167235494881,23,1979,5.66666666666667,9.16311125013563,3.02706313943658,9.26996625787013,3.04466192833788,0,0.388888888888889,2.57142857142857,1952,0,27,7.679180887372,7.679180887372
"33","23_84",28.819651444753,41.6731131642181,2.74914089347079,14.4329896907216,23,1984,5.33333333333333,7.76977787229749,2.78743212873381,7.6917851729005,2.77340678100067,0,0.277777777777778,3.6,1952,0,32,8.59106529209619,8.59106529209619
"34","23_89",8.64596664905548,19.4043099314848,16.4983164983165,4.71380471380471,23,1989,5.5,11.5020001506805,3.39145988486972,1.63712216152377,1.27950074698054,25.3999996185303,0.388888888888889,2.57142857142857,1952,0,37,10.6060606060606,-14.7939390124697
"35","23_94",7.32910817861555,12.8548646506701,7.42574257425743,16.8316831683168,23,1994,5,11.1719995880127,3.34245412653826,8.86620957146887,2.9776181036978,10.8999996185303,0.277777777777778,3.6,1952,0,42,12.1287128712871,1.22871325275682
"36","23_99",15.0250641107559,7.37183194561935,16.8965517241379,3.79310344827586,23,1999,5,13.99600025177,3.74112285975347,8.31109736331408,2.88289739035473,31.7000007629395,0.277777777777778,3.6,1952,0,47,10.3448275862069,-21.3551731767326
"37","31_04",-3.24296494722367,23.6140891894209,28.6141575274177,14.456630109671,31,2004,5,22.5968004190922,4.75360919923927,10.4112975431705,3.22665423359406,18.6000003814697,0.241452991452991,4.14159292035398,1952,0,52,21.5353938185443,2.93539343707463
"38","31_09",0.35140323638915,19.9459341776483,27.8836509528586,18.9568706118355,31,2009,4.66666666666667,13.1031112162272,3.61982198681471,1.24715146386955,1.11675935808461,6.30000019073486,0.187142857142857,5.34351145038168,1952,0,57,23.4202607823471,17.1202605916122
"39","31_79",-10.2771501541138,26.5272706994106,30.2997858672377,8.67237687366167,31,1979,3.8,33.4371201538086,5.78248390865107,7.92052579332717,2.81434287060535,16.2000007629395,0.42798353909465,2.33653846153846,1952,0,27,19.4860813704497,3.28608060751019
"40","31_89",6.22782802581787,15.4484465280763,23.9958805355304,5.76725025746653,31,1989,4,12.5799998474121,3.54682954868318,22.1191895212702,4.70310424307927,0,0.18427069044353,5.42679900744417,1952,0,37,14.8815653964985,14.8815653964985
"41","31_94",-5.66060082117718,21.9269829943766,13.0831643002028,34.2799188640974,31,1994,6,24.2920001792908,4.92869152811279,3.61969351715603,1.90254921543597,0,0.178094860615669,5.61498516320475,1952,0,42,23.6815415821501,23.6815415821501
"42","31_99",0.0462501883506679,16.3739860798137,34.1703056768559,14.410480349345,31,1999,4.11111111111111,37.3256790844011,6.10947453422969,9.00539669616225,3.00089931456593,24,0.118906064209275,8.41,1952,0,47,24.2903930131004,0.29039301310047
"43","32_04",4.80056931717056,6.78036916141707,26.7803410230692,13.9418254764293,32,2004,5,30.0240000247955,5.47941602954143,18.0160718544111,4.24453435071636,17,0.171761998685076,5.82200956937799,1952,0,52,20.3610832497492,3.36108324974925
"44","32_09",2.73126082420349,7.11839609002051,33.9679358717435,20.4408817635271,32,2009,4.66666666666667,11.0595555443234,3.32559100677209,5.72200199325243,2.39207064972012,2.20000004768372,0.335399449035813,2.98151950718686,1952,0,57,27.2044088176353,25.0044087699516
"45","32_79",-17.2972965240479,NA,14.4665461121157,2.7124773960217,32,1979,3,0,0,0,0,0,0.0877914951989026,11.390625,1952,0,27,8.5895117540687,8.5895117540687
"46","32_84",40.9090919494629,NA,3.75634517766497,21.2182741116751,32,1984,5,0,0,0,0,0,0.10303307422649,9.70562130177515,1952,0,32,12.48730964467,12.48730964467
"47","32_89",18.7885284423828,7.92202144984488,15.0205761316872,1.64609053497942,32,1989,4,1.4479999923706,1.20332871334918,5.55590418289716,2.35709655782218,0,0.124980948026216,8.00121951219512,1952,0,37,8.33333333333331,8.33333333333331
"48","32_94",5.21397334337236,14.7960665761805,5.88832487309645,20.1015228426396,32,1994,5,22.7600000286102,4.77074417974913,24.3380076287681,4.93335662898681,6.09999990463257,0.169639318271899,5.89485981308411,1952,0,42,12.994923857868,6.89492395323546
"49","32_99",14.6438401142756,7.91299305391889,23.7230419977299,5.56186152099886,32,1999,5.63636363636364,26.125785656133,5.11133892988256,16.9565713747791,4.1178357634538,4.30000019073486,0.124719249570617,8.01800847457627,1952,0,47,14.6424517593644,10.3424515686295
"50","33_04",8.47553233802318,6.8583289200923,17.7319587628866,7.42268041237113,33,2004,4.57142857142857,11.4822042094688,3.38854012953496,19.8974349016052,4.46065408898798,5.19999980926514,0.414951989026063,2.4099173553719,1986,0,18,12.5773195876289,7.37731977836372
"51","33_09",7.96919881105422,11.7993697039894,21.3447171824973,10.7790821771612,33,2009,4,29.2999990081787,5.4129473494741,6.15093693524923,2.4801082507119,0,0.2575,3.88349514563107,1986,0,23,16.0618996798292,16.0618996798292
"52","33_89",14.9446918169657,10.1822108074757,12.884834663626,4.90307867730901,33,1989,5,14.7839996910095,3.84499670884248,8.73098727217454,2.95482440631834,0,0.277777777777778,3.6,1986,0,3,8.8939566704675,8.8939566704675
"53","33_94",2.88202599022123,12.3815901248937,15.295358649789,32.0675105485232,33,1994,2.88888888888889,30.2992087534916,5.5044717052131,8.31274416723463,2.88318299232543,0.400000005960464,0.33154296875,3.01620029455081,1986,0,8,23.6814345991561,23.2814345931956
"54","33_99",3.85830084482829,11.9009755792156,30.7873090481786,4.93537015276146,33,1999,5.16666666666667,4.23955559915967,2.05901811530634,6.26452626904803,2.50290356766857,1.5,0.3251953125,3.07507507507508,1986,0,13,17.86133960047,16.36133960047
"55","34_04",-2.21813263495764,18.9101724055507,29.2857142857143,8.16326530612245,34,2004,5,16.2559999084473,4.03187300251971,10.8453780322499,3.29323215583868,4.09999990463257,0.340277777777778,2.93877551020408,1981,0,23,18.7244897959184,14.6244898912858
"56","34_09",1.59444506963095,9.75858671611181,40.863453815261,14.859437751004,34,2009,4.5,17.1899995660782,4.14608243599644,11.8565740667003,3.44333763472307,7.09999990463257,0.238095238095238,4.2,1981,0,28,27.8614457831325,20.7614458784999
"57","34_84",-16.287878036499,23.0345380214957,19.6271929824561,38.9254385964912,34,1984,3,8.51199981689453,2.91753317322949,0.139114131031451,0.372980067874211,0,0.189236111111111,5.28440366972477,1981,0,3,29.2763157894736,29.2763157894736
"58","34_89",-4.38596487045288,NA,19.648737650933,6.36663007683864,34,1989,1,0,0,0,0,0,0.0277777777777778,36,1981,0,8,13.0076838638858,13.0076838638858
"59","34_94",3.47623586654665,21.8468661300923,9.46808510638298,21.3829787234043,34,1994,3,7.02399978637696,2.65028296345446,0.0311551822975288,0.1765083065964,0,0.1664,6.00961538461538,1981,0,13,15.4255319148936,15.4255319148936
"60","34_99",2.50593213240306,10.674873618905,30.1154249737671,12.4868835257083,34,1999,4,32.172000246048,5.67203669293914,12.2875857092511,3.50536527472546,8.69999980926514,0.2864,3.49162011173184,1981,0,18,21.3011542497377,12.6011544404726
"61","35_04",5.05883948008219,14.0895767188277,28.5092491838955,10.2285092491839,35,2004,4.25,33.0475001466274,5.7486955169523,23.3984524109767,4.83719468400608,9.10000038146973,0.649305555555556,1.54010695187166,1986,0,18,19.3688792165397,10.26887883507
"62","35_09",1.87069809436799,12.5963092309004,24.0462427745665,23.6994219653179,35,2009,4.6,19.7457601455688,4.44362016216157,8.67661822736912,2.94560999240719,10.6000003814697,0.33641975308642,2.97247706422018,1986,0,23,23.8728323699422,13.2728319884725
"63","35_89",5.23733536402383,12.8964010057518,16.6476624857469,3.30672748004561,35,1989,4,7.55199981689453,2.74809021265579,5.64278163320365,2.37545398465297,14.3999996185303,0.279513888888889,3.5776397515528,1986,0,3,9.97719498289625,-4.42280463563405
"64","35_94",16.702345530192,0.232768994331806,13.1416837782341,32.3408624229979,35,1994,4.66666666666667,3.28888902452257,1.81352943855967,0.267609770796472,0.517310130189301,34.4000015258789,0.304,3.28947368421053,1986,0,8,22.741273100616,-11.6587284252629
"65","35_99",9.14101107915242,13.2566234043823,27.8935185185185,6.01851851851852,35,1999,6,8.2079997253418,2.86496068478117,1.24978069022412,1.11793590613421,8.19999980926514,0.3664,2.7292576419214,1986,0,13,16.9560185185185,8.75601870925337
"66","36_09",3.80285289883614,6.32167772158987,27.2908366533865,18.7250996015936,36,2009,5.25,31.2700008559227,5.59195858853789,22.1801729887946,4.709583101379,0,0.4,2.5,2004,0,5,23.0079681274901,23.0079681274901
