"","nation","year.f","year","diff.EUS","avg.EUS","gen.EUS","inst.EUS","pola.index","enop","member.dur","CEE","CEE.f","dummy.11","dummy.13","dummy.14","dummy.31","dummy.32","dummy.33","dummy.34","dummy.35","dummy.36","dummy.37","dummy.41","dummy.42","dummy.51","dummy.53","dummy.80","dummy.82","dummy.86","dummy.87","dummy.88","dummy.92","dummy.93","dummy.96","dummy.97"
"67","53","1984",1984,26.9354838709677,26.9354838709677,29.4623655913978,24.4086021505376,0,NA,11,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"68","53","1989",1989,1.89839924157874,9.49839914621131,5.65635005336179,13.3404482390608,2.42789347955113,13.2352941176471,16,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"69","53","1994",1994,9.93693519083596,11.8369351669941,17.0923379174853,6.58153241650295,2.60715937173469,3.40909090909091,21,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"70","53","1999",1999,8.04904051172708,8.04904051172708,3.30490405117271,12.7931769722815,2.06731171744555,10.7142857142857,26,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"71","53","2004",2004,-1.51313597469007,9.58686440677966,4.55508474576271,14.6186440677966,4.19714186466854,3.93023255813953,31,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"72","53","2009",2009,9.7730021121435,12.4730021598272,8.74730021598272,16.1987041036717,3.70051049642889,4.48148148148148,36,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"73","80","2009",2009,17.0460878885316,29.0460878885316,11.0396570203644,47.0525187566988,2.58735387004332,14.7272727272727,2,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"74","82","2004",2004,-2.31364956437561,27.6863504356244,9.19651500484027,46.1761858664085,5.32823419961755,4.29850746268657,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"75","82","2009",2009,-3.39320388349515,28.1067961165049,13.3009708737864,42.9126213592233,5.83506639222175,3.29251700680272,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"76","86","2004",2004,19.2443592880871,19.2443592880871,8.72415043620214,29.7645681399721,1.37622673105081,1.25217391304348,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"77","86","2009",2009,-5.02433732509558,24.5756630563741,16.7785441060648,32.3727820066834,4.93950604374641,1.2972972972973,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"78","87","2004",2004,7.86993230361176,21.0699321128769,12.4174904849751,29.7223737407787,4.10413430273651,1.76086956521739,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"79","87","2009",2009,9.41766570291424,24.4176657029142,16.7377887728891,32.0975426329394,4.93675923081778,3.68181818181818,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"80","88","2004",2004,-42.9854448851306,11.0145551148694,5.51834667864003,16.5107635510988,4.34284698349663,2.16666666666667,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"81","88","2009",2009,-1.36984467037214,16.2301557110976,10.8456752552918,21.6146361669034,5.00825439283484,2.25,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"82","92","2004",2004,-2.78695633100427,23.9130434782609,8.27147401908802,39.5546129374337,3.858497108076,8.57647058823529,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"83","92","2009",2009,19.8615548455804,19.8615548455804,8.83919062832801,30.8839190628328,2.88805973339799,4.20168067226891,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"84","93","2009",2009,-0.434628213259661,16.9653714052706,6.80176906951335,27.1289737410279,5.33599932357845,2.01666666666667,2,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"85","96","2004",2004,-3.04363088028119,22.3563696919234,3.99666944213156,40.7160699417152,4.87647413690347,4,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"86","96","2009",2009,11.7869347687343,17.3869346733668,4.62311557788945,30.1507537688442,4.15266981747201,2.56410256410256,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"87","97","2004",2004,-1.19162341811894,22.4083769633508,5.23560209424084,39.5811518324607,5.59964282054779,3.76923076923077,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"88","97","2009",2009,18.3219220172894,21.9219219219219,9.50950950950951,34.3343343343343,4.75291724608237,5.0625,5,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
